iter	Passed	Remaining
0	67	67645
1	106	53216
2	144	48088
3	182	45516
4	219	43750
5	256	42433
6	292	41507
7	328	40760
8	367	40432
9	405	40098
10	443	39831
11	481	39637
12	519	39471
13	557	39295
14	596	39195
15	632	38928
16	669	38725
17	706	38524
18	742	38346
19	780	38248
20	820	38247
21	859	38192
22	898	38159
23	934	38019
24	973	37976
25	1011	37880
26	1056	38074
27	1094	37985
28	1132	37906
29	1171	37877
30	1210	37832
31	1254	37934
32	1294	37918
33	1331	37843
34	1371	37800
35	1408	37709
36	1444	37599
37	1483	37554
38	1522	37506
39	1562	37504
40	1601	37449
41	1654	37744
42	1693	37695
43	1732	37653
44	1774	37654
45	1813	37619
46	1854	37607
47	1894	37576
48	1933	37525
49	1972	37479
50	2010	37402
51	2047	37326
52	2085	37267
53	2122	37181
54	2159	37104
55	2197	37038
56	2234	36971
57	2274	36934
58	2313	36900
59	2352	36856
60	2390	36795
61	2429	36748
62	2468	36718
63	2507	36672
64	2547	36642
65	2587	36611
66	2631	36650
67	2671	36618
68	2712	36603
69	2753	36583
70	2792	36532
71	2828	36461
72	2866	36398
73	2905	36355
74	2942	36295
75	2983	36270
76	3023	36247
77	3060	36181
78	3097	36114
79	3133	36038
80	3170	35971
81	3207	35910
82	3259	36009
83	3300	35987
84	3340	35954
85	3381	35935
86	3421	35910
87	3461	35873
88	3507	35903
89	3549	35890
90	3591	35874
91	3633	35860
92	3673	35830
93	3715	35813
94	3754	35767
95	3794	35732
96	3834	35696
97	3872	35645
98	3913	35616
99	3952	35571
100	3991	35528
101	4031	35491
102	4069	35436
103	4109	35404
104	4148	35363
105	4186	35308
106	4226	35275
107	4265	35227
108	4304	35187
109	4344	35147
110	4382	35100
111	4420	35045
112	4457	34992
113	4495	34938
114	4534	34892
115	4572	34843
116	4611	34806
117	4656	34808
118	4699	34789
119	4738	34746
120	4777	34706
121	4818	34675
122	4862	34672
123	4900	34620
124	4939	34578
125	4978	34536
126	5017	34488
127	5059	34466
128	5100	34441
129	5149	34460
130	5184	34394
131	5221	34334
132	5258	34277
133	5300	34253
134	5336	34192
135	5372	34130
136	5408	34069
137	5445	34016
138	5483	33963
139	5520	33910
140	5555	33848
141	5593	33795
142	5630	33741
143	5666	33684
144	5702	33623
145	5738	33567
146	5773	33502
147	5815	33477
148	5853	33429
149	5891	33384
150	5930	33345
151	5969	33303
152	6006	33251
153	6042	33196
154	6092	33213
155	6130	33166
156	6166	33110
157	6205	33068
158	6241	33015
159	6278	32961
160	6314	32905
161	6350	32850
162	6388	32803
163	6427	32762
164	6468	32735
165	6504	32678
166	6541	32629
167	6579	32582
168	6615	32529
169	6651	32476
170	6687	32422
171	6725	32377
172	6766	32344
173	6806	32311
174	6846	32276
175	6886	32240
176	6926	32205
177	6965	32167
178	7005	32130
179	7042	32081
180	7078	32029
181	7116	31986
182	7154	31942
183	7192	31897
184	7231	31858
185	7268	31809
186	7305	31763
187	7346	31729
188	7384	31688
189	7423	31649
190	7463	31611
191	7499	31560
192	7535	31509
193	7573	31466
194	7609	31412
195	7644	31359
196	7680	31308
197	7716	31257
198	7761	31240
199	7800	31201
200	7837	31156
201	7874	31109
202	7911	31061
203	7947	31009
204	7989	30984
205	8031	30956
206	8072	30924
207	8116	30904
208	8158	30879
209	8201	30852
210	8243	30826
211	8287	30803
212	8329	30776
213	8377	30769
214	8417	30733
215	8457	30698
216	8496	30659
217	8535	30619
218	8577	30588
219	8618	30554
220	8658	30521
221	8699	30487
222	8741	30458
223	8781	30421
224	8821	30386
225	8862	30350
226	8901	30311
227	8947	30294
228	8984	30250
229	9024	30211
230	9068	30189
231	9107	30149
232	9146	30109
233	9185	30067
234	9223	30026
235	9271	30012
236	9309	29971
237	9348	29931
238	9388	29892
239	9443	29904
240	9486	29876
241	9529	29848
242	9569	29810
243	9608	29771
244	9648	29733
245	9687	29693
246	9727	29654
247	9766	29615
248	9807	29579
249	9848	29544
250	9892	29518
251	9933	29484
252	9971	29442
253	10013	29410
254	10052	29370
255	10097	29346
256	10150	29346
257	10190	29308
258	10231	29273
259	10271	29233
260	10311	29195
261	10350	29154
262	10389	29113
263	10428	29074
264	10469	29036
265	10509	29000
266	10548	28958
267	10588	28921
268	10628	28882
269	10670	28848
270	10711	28814
271	10752	28778
272	10793	28743
273	10832	28701
274	10873	28665
275	10914	28632
276	10955	28593
277	10998	28564
278	11035	28518
279	11071	28469
280	11108	28422
281	11148	28384
282	11188	28347
283	11231	28314
284	11272	28279
285	11313	28243
286	11352	28202
287	11388	28156
288	11425	28109
289	11463	28065
290	11499	28017
291	11535	27970
292	11572	27923
293	11609	27878
294	11645	27830
295	11683	27787
296	11721	27744
297	11761	27707
298	11799	27664
299	11840	27628
300	11884	27599
301	11943	27604
302	11980	27558
303	12025	27531
304	12063	27489
305	12102	27447
306	12139	27402
307	12177	27360
308	12215	27316
309	12253	27274
310	12293	27234
311	12331	27192
312	12368	27148
313	12405	27103
314	12443	27060
315	12480	27015
316	12517	26970
317	12554	26926
318	12591	26880
319	12627	26832
320	12664	26787
321	12702	26745
322	12740	26703
323	12780	26666
324	12819	26624
325	12858	26584
326	12896	26543
327	12935	26501
328	12972	26458
329	13012	26418
330	13051	26378
331	13088	26334
332	13128	26295
333	13164	26250
334	13201	26205
335	13239	26162
336	13274	26116
337	13310	26070
338	13345	26022
339	13381	25976
340	13421	25938
341	13459	25895
342	13495	25850
343	13533	25807
344	13571	25766
345	13609	25724
346	13647	25682
347	13684	25638
348	13723	25598
349	13761	25557
350	13799	25515
351	13838	25475
352	13876	25433
353	13913	25390
354	13952	25350
355	13991	25310
356	14029	25268
357	14068	25228
358	14107	25189
359	14145	25148
360	14183	25106
361	14221	25064
362	14257	25019
363	14293	24974
364	14329	24928
365	14365	24884
366	14405	24846
367	14442	24802
368	14478	24759
369	14519	24722
370	14566	24696
371	14603	24653
372	14641	24611
373	14679	24570
374	14724	24540
375	14760	24495
376	14795	24450
377	14831	24404
378	14868	24361
379	14903	24316
380	14940	24272
381	14977	24230
382	15014	24187
383	15051	24145
384	15090	24105
385	15129	24065
386	15165	24022
387	15201	23978
388	15237	23933
389	15276	23893
390	15313	23851
391	15350	23809
392	15389	23769
393	15457	23774
394	15497	23736
395	15536	23697
396	15574	23656
397	15613	23616
398	15652	23577
399	15690	23536
400	15726	23492
401	15764	23450
402	15801	23408
403	15837	23363
404	15873	23320
405	15923	23296
406	15965	23261
407	16002	23218
408	16039	23176
409	16075	23132
410	16109	23086
411	16146	23043
412	16182	23000
413	16219	22957
414	16263	22926
415	16304	22889
416	16342	22848
417	16382	22809
418	16420	22768
419	16461	22732
420	16504	22698
421	16544	22660
422	16583	22620
423	16621	22580
424	16661	22541
425	16704	22508
426	16744	22469
427	16787	22435
428	16827	22396
429	16868	22360
430	16906	22319
431	16942	22276
432	16980	22235
433	17017	22193
434	17052	22148
435	17088	22105
436	17123	22061
437	17159	22017
438	17195	21973
439	17230	21930
440	17267	21887
441	17303	21844
442	17339	21801
443	17380	21764
444	17418	21724
445	17455	21682
446	17491	21639
447	17528	21597
448	17566	21557
449	17605	21518
450	17642	21475
451	17678	21433
452	17715	21392
453	17752	21349
454	17787	21306
455	17826	21266
456	17863	21224
457	17899	21182
458	17935	21139
459	17972	21098
460	18009	21056
461	18045	21014
462	18084	20974
463	18121	20933
464	18158	20891
465	18196	20851
466	18234	20811
467	18272	20770
468	18309	20730
469	18347	20689
470	18385	20649
471	18422	20607
472	18460	20567
473	18496	20526
474	18533	20484
475	18569	20442
476	18606	20401
477	18642	20358
478	18678	20316
479	18715	20274
480	18750	20231
481	18786	20189
482	18822	20147
483	18859	20106
484	18897	20066
485	18936	20027
486	18974	19987
487	19012	19947
488	19051	19908
489	19091	19871
490	19130	19831
491	19170	19794
492	19210	19756
493	19251	19719
494	19293	19683
495	19332	19644
496	19370	19604
497	19407	19563
498	19445	19523
499	19484	19484
500	19521	19443
501	19559	19403
502	19597	19363
503	19635	19323
504	19673	19283
505	19710	19243
506	19747	19202
507	19784	19161
508	19819	19118
509	19867	19088
510	19906	19049
511	19944	19009
512	19981	18969
513	20020	18930
514	20063	18894
515	20104	18857
516	20144	18819
517	20184	18781
518	20223	18742
519	20263	18704
520	20312	18675
521	20364	18647
522	20402	18608
523	20441	18568
524	20481	18530
525	20526	18497
526	20566	18458
527	20606	18420
528	20645	18381
529	20685	18343
530	20724	18304
531	20764	18266
532	20804	18228
533	20844	18190
534	20884	18152
535	20923	18113
536	20964	18075
537	21003	18036
538	21042	17997
539	21081	17958
540	21119	17918
541	21161	17881
542	21201	17843
543	21242	17806
544	21286	17771
545	21325	17731
546	21366	17694
547	21405	17655
548	21445	17617
549	21484	17578
550	21524	17539
551	21564	17501
552	21606	17464
553	21660	17437
554	21697	17397
555	21736	17357
556	21774	17318
557	21813	17278
558	21850	17238
559	21887	17197
560	21925	17157
561	21970	17123
562	22009	17083
563	22048	17044
564	22085	17004
565	22123	16964
566	22165	16926
567	22203	16887
568	22256	16858
569	22294	16818
570	22334	16780
571	22373	16741
572	22411	16701
573	22449	16661
574	22488	16621
575	22526	16581
576	22563	16541
577	22602	16501
578	22639	16461
579	22679	16422
580	22716	16382
581	22754	16342
582	22792	16302
583	22829	16262
584	22865	16221
585	22903	16180
586	22939	16140
587	22977	16099
588	23012	16058
589	23050	16017
590	23087	15977
591	23128	15939
592	23169	15901
593	23207	15862
594	23248	15824
595	23286	15784
596	23326	15746
597	23371	15711
598	23410	15672
599	23451	15634
600	23492	15596
601	23532	15558
602	23571	15518
603	23610	15479
604	23650	15441
605	23690	15402
606	23729	15363
607	23768	15324
608	23807	15285
609	23846	15246
610	23885	15207
611	23925	15168
612	23964	15129
613	24003	15090
614	24043	15051
615	24085	15014
616	24124	14975
617	24165	14936
618	24206	14899
619	24245	14860
620	24284	14821
621	24323	14781
622	24362	14742
623	24401	14703
624	24440	14664
625	24479	14625
626	24520	14587
627	24562	14549
628	24602	14511
629	24643	14473
630	24685	14435
631	24727	14398
632	24769	14360
633	24813	14324
634	24858	14288
635	24900	14251
636	24947	14216
637	24987	14177
638	25026	14138
639	25064	14099
640	25105	14060
641	25169	14035
642	25209	13996
643	25248	13957
644	25287	13917
645	25323	13877
646	25362	13837
647	25400	13797
648	25437	13757
649	25477	13718
650	25517	13680
651	25556	13640
652	25593	13600
653	25629	13559
654	25666	13518
655	25703	13478
656	25740	13438
657	25785	13402
658	25825	13363
659	25863	13323
660	25900	13283
661	25937	13243
662	25973	13202
663	26016	13164
664	26060	13128
665	26099	13088
666	26138	13049
667	26177	13010
668	26217	12971
669	26256	12932
670	26296	12893
671	26340	12856
672	26381	12818
673	26422	12779
674	26462	12741
675	26502	12702
676	26541	12663
677	26581	12624
678	26619	12584
679	26657	12544
680	26697	12506
681	26737	12467
682	26778	12428
683	26817	12389
684	26855	12349
685	26894	12310
686	26933	12270
687	26974	12232
688	27013	12193
689	27053	12154
690	27095	12116
691	27136	12078
692	27177	12039
693	27220	12002
694	27261	11963
695	27302	11925
696	27342	11886
697	27381	11847
698	27423	11808
699	27465	11770
700	27512	11735
701	27556	11697
702	27602	11661
703	27647	11624
704	27687	11585
705	27727	11546
706	27765	11506
707	27804	11467
708	27841	11427
709	27879	11387
710	27918	11347
711	27961	11310
712	28003	11272
713	28043	11232
714	28100	11200
715	28144	11163
716	28190	11126
717	28228	11087
718	28264	11046
719	28301	11005
720	28337	10965
721	28373	10925
722	28409	10884
723	28446	10844
724	28482	10803
725	28519	10763
726	28555	10723
727	28593	10683
728	28628	10642
729	28664	10601
730	28701	10561
731	28738	10521
732	28775	10481
733	28811	10441
734	28848	10401
735	28899	10366
736	28940	10327
737	28982	10289
738	29025	10251
739	29069	10213
740	29112	10175
741	29150	10135
742	29185	10095
743	29222	10055
744	29258	10014
745	29296	9974
746	29333	9934
747	29374	9896
748	29416	9857
749	29458	9819
750	29497	9780
751	29538	9741
752	29576	9701
753	29613	9661
754	29651	9622
755	29690	9582
756	29731	9544
757	29775	9506
758	29817	9467
759	29860	9429
760	29902	9391
761	29942	9351
762	29981	9312
763	30018	9272
764	30056	9232
765	30093	9193
766	30132	9153
767	30173	9114
768	30215	9076
769	30259	9038
770	30301	9000
771	30341	8960
772	30378	8921
773	30415	8881
774	30451	8840
775	30486	8800
776	30522	8760
777	30559	8720
778	30594	8679
779	30631	8639
780	30668	8599
781	30703	8559
782	30739	8519
783	30775	8478
784	30813	8439
785	30849	8399
786	30886	8359
787	30936	8322
788	30979	8284
789	31035	8249
790	31078	8211
791	31121	8173
792	31161	8134
793	31198	8094
794	31234	8054
795	31269	8013
796	31305	7973
797	31342	7933
798	31382	7894
799	31423	7855
800	31466	7817
801	31508	7778
802	31549	7739
803	31587	7700
804	31624	7660
805	31662	7620
806	31699	7581
807	31741	7542
808	31779	7502
809	31817	7463
810	31854	7423
811	31893	7384
812	31929	7344
813	31965	7304
814	32004	7264
815	32052	7227
816	32101	7190
817	32147	7152
818	32191	7114
819	32251	7079
820	32307	7043
821	32361	7007
822	32410	6970
823	32461	6933
824	32520	6898
825	32564	6859
826	32607	6821
827	32648	6782
828	32693	6743
829	32740	6705
830	32780	6666
831	32820	6627
832	32860	6587
833	32900	6548
834	32940	6509
835	32980	6469
836	33020	6430
837	33075	6394
838	33126	6356
839	33172	6318
840	33220	6280
841	33264	6242
842	33305	6202
843	33343	6163
844	33382	6123
845	33420	6083
846	33459	6044
847	33499	6004
848	33539	5965
849	33586	5927
850	33632	5888
851	33680	5850
852	33723	5811
853	33766	5772
854	33811	5734
855	33855	5695
856	33896	5656
857	33937	5616
858	33976	5577
859	34015	5537
860	34053	5497
861	34092	5458
862	34130	5418
863	34170	5378
864	34208	5338
865	34247	5299
866	34287	5259
867	34338	5221
868	34391	5184
869	34436	5145
870	34480	5106
871	34522	5067
872	34568	5028
873	34612	4989
874	34656	4950
875	34700	4911
876	34741	4872
877	34784	4833
878	34826	4794
879	34869	4754
880	34910	4715
881	34952	4676
882	34993	4636
883	35033	4597
884	35075	4557
885	35117	4518
886	35159	4479
887	35201	4439
888	35240	4400
889	35278	4360
890	35316	4320
891	35354	4280
892	35391	4240
893	35443	4202
894	35483	4162
895	35523	4123
896	35564	4083
897	35603	4044
898	35644	4004
899	35684	3964
900	35723	3925
901	35762	3885
902	35801	3845
903	35840	3806
904	35877	3766
905	35914	3726
906	35950	3686
907	35987	3646
908	36022	3606
909	36057	3566
910	36093	3526
911	36131	3486
912	36167	3446
913	36203	3406
914	36240	3366
915	36276	3326
916	36314	3286
917	36352	3247
918	36390	3207
919	36428	3167
920	36465	3127
